epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,227.45,0.80668,0.67516,0.90049,0.96878,0.99567,0.995,0.64073,1.20816,0.79536,1.07055,0.00102817,0.00102817,0.00102817
87,230.045,0.76936,0.64948,0.8844,0.99264,0.97222,0.99295,0.7049,1.12363,0.75497,1.04427,0.00102345,0.00102345,0.00102345
88,232.646,0.7947,0.66156,0.88462,0.96972,0.9954,0.995,0.70832,1.07854,0.72652,1.06519,0.00101873,0.00101873,0.00101873
89,235.29,0.79639,0.63871,0.88782,0.959,0.9946,0.995,0.71658,1.05355,0.75163,1.03918,0.00101402,0.00101402,0.00101402
90,237.936,0.75811,0.65282,0.89724,0.98708,0.97222,0.99295,0.6906,1.08775,0.74504,1.04127,0.0010093,0.0010093,0.0010093
91,240.565,0.75586,0.64434,0.8843,0.97825,1,0.995,0.70766,1.0793,0.7119,1.02263,0.00100459,0.00100459,0.00100459
92,243.164,0.74795,0.6315,0.87927,0.98094,1,0.995,0.69806,1.06819,0.69712,1.03361,0.000999871,0.000999871,0.000999871
93,245.774,0.76998,0.63167,0.89736,0.9794,1,0.995,0.70596,1.08778,0.66592,1.07408,0.000995156,0.000995156,0.000995156
94,248.378,0.75459,0.62895,0.89051,0.98493,1,0.995,0.70844,1.10079,0.67575,1.05508,0.00099044,0.00099044,0.00099044
95,251.026,0.80029,0.64078,0.90367,0.94881,0.97222,0.96361,0.70321,1.09832,0.7156,1.06672,0.000985724,0.000985724,0.000985724
96,253.622,0.78305,0.62651,0.87284,0.98372,1,0.995,0.71359,1.07083,0.70948,1.07336,0.000981008,0.000981008,0.000981008
97,256.279,0.75172,0.6227,0.87686,0.95742,1,0.9909,0.67662,1.13217,0.72917,1.08584,0.000976293,0.000976293,0.000976293
98,258.902,0.74956,0.60858,0.86833,0.9902,1,0.995,0.70018,1.11708,0.70802,1.07417,0.000971577,0.000971577,0.000971577
99,261.538,0.74598,0.61378,0.87728,0.97352,0.9951,0.995,0.73109,1.06089,0.67063,1.0295,0.000966861,0.000966861,0.000966861
100,264.198,0.77371,0.6271,0.88553,0.97516,1,0.995,0.721,1.02012,0.66199,1.01507,0.000962146,0.000962146,0.000962146
101,266.804,0.75114,0.62493,0.8837,0.98681,0.99748,0.995,0.66965,1.15549,0.6747,1.01713,0.00095743,0.00095743,0.00095743
102,269.383,0.74868,0.6055,0.87824,0.96332,0.97222,0.9475,0.67003,1.14333,0.67133,1.04184,0.000952714,0.000952714,0.000952714
103,272.028,0.77426,0.60249,0.88055,0.95885,0.97222,0.94292,0.68597,1.08187,0.6696,1.04423,0.000947999,0.000947999,0.000947999
104,274.65,0.77615,0.62071,0.89301,0.96406,0.97222,0.95324,0.67357,1.16878,0.70429,1.05576,0.000943283,0.000943283,0.000943283
105,277.283,0.72341,0.58172,0.88798,0.95957,0.97222,0.95324,0.70323,1.08379,0.69144,1.02867,0.000938567,0.000938567,0.000938567
106,279.895,0.73357,0.57579,0.88319,0.9816,0.99636,0.995,0.68175,1.12349,0.69683,1.04848,0.000933851,0.000933851,0.000933851
107,282.543,0.74716,0.57816,0.88842,0.95808,0.96949,0.94528,0.7196,0.97425,0.67509,1.05015,0.000929136,0.000929136,0.000929136
108,285.135,0.71962,0.58818,0.86464,0.9616,0.97092,0.94528,0.70752,0.99956,0.67326,1.05747,0.00092442,0.00092442,0.00092442
109,287.755,0.70356,0.5676,0.86452,0.98087,1,0.995,0.70941,1.03288,0.70202,1.07451,0.000919704,0.000919704,0.000919704
110,290.388,0.70603,0.5732,0.8856,0.98039,0.99708,0.995,0.72466,1.01892,0.72312,1.07394,0.000914989,0.000914989,0.000914989
111,293.005,0.71698,0.56403,0.87229,0.9804,0.98811,0.995,0.71613,1.1014,0.69866,1.07012,0.000910273,0.000910273,0.000910273
112,295.636,0.71414,0.58935,0.87563,0.9902,1,0.995,0.71071,1.07386,0.67975,1.06349,0.000905557,0.000905557,0.000905557
113,298.217,0.73148,0.58854,0.8835,0.98921,1,0.995,0.7139,1.08335,0.69908,1.07475,0.000900842,0.000900842,0.000900842
114,300.812,0.74142,0.57731,0.87448,0.99084,0.98689,0.995,0.69126,1.1267,0.6789,1.0732,0.000896126,0.000896126,0.000896126
115,303.42,0.72199,0.58629,0.86864,0.98852,0.99611,0.995,0.70963,1.09742,0.6638,1.02166,0.00089141,0.00089141,0.00089141
116,306.098,0.71044,0.58144,0.862,0.98761,0.99996,0.995,0.7029,1.12806,0.68546,1.03136,0.000886694,0.000886694,0.000886694
117,308.704,0.71667,0.57918,0.88794,0.95668,0.97222,0.95667,0.72033,1.04421,0.67594,1.02236,0.000881979,0.000881979,0.000881979
