epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,101.324,1.13077,0.86896,1.03625,0.88661,0.89968,0.93569,0.63131,1.2308,0.85118,1.28695,0.00115077,0.00115077,0.00115077
61,102.997,1.08182,0.83265,1.04086,0.92158,0.94846,0.97353,0.58349,1.33077,0.81548,1.26879,0.00114606,0.00114606,0.00114606
62,104.725,1.0946,0.85692,1.00125,0.98138,0.94444,0.98295,0.5941,1.32499,0.83283,1.30274,0.00114134,0.00114134,0.00114134
63,106.444,1.05638,0.86648,1.02158,0.93804,0.94156,0.94591,0.62295,1.25839,0.80627,1.33093,0.00113663,0.00113663,0.00113663
64,108.153,1.09022,0.84487,1.03656,0.96087,0.98182,0.99295,0.64678,1.12825,0.80264,1.28403,0.00113191,0.00113191,0.00113191
65,109.876,1.09153,0.83351,1.03949,0.98825,0.98876,0.995,0.67556,1.11332,0.79169,1.33776,0.0011272,0.0011272,0.0011272
66,111.675,0.99041,0.80623,1.00031,0.95674,0.98383,0.995,0.62901,1.25114,0.8579,1.36848,0.00112248,0.00112248,0.00112248
67,113.367,1.04929,0.81366,1.00655,0.88995,0.93608,0.94931,0.62851,1.20299,0.81422,1.30955,0.00111776,0.00111776,0.00111776
68,115.101,1.03152,0.80513,1.0121,0.90438,0.94444,0.9506,0.63473,1.20218,0.80147,1.27119,0.00111305,0.00111305,0.00111305
69,116.728,1.07143,0.85442,1.0278,0.95002,0.93309,0.97778,0.59893,1.27738,0.86136,1.33118,0.00110833,0.00110833,0.00110833
70,118.419,1.13737,0.8276,1.0169,0.88366,0.93264,0.9402,0.60905,1.2761,0.83153,1.32787,0.00110362,0.00110362,0.00110362
71,120.095,1.13563,0.87148,1.03117,0.84692,0.9177,0.92501,0.61936,1.2158,0.86378,1.28735,0.0010989,0.0010989,0.0010989
72,121.787,1.04891,0.83235,1.0113,0.8476,0.94444,0.89871,0.5573,1.33002,0.88386,1.30325,0.00109419,0.00109419,0.00109419
73,123.444,1.09683,0.82561,1.01113,0.89046,0.9632,0.94563,0.5895,1.30248,0.87676,1.32787,0.00108947,0.00108947,0.00108947
74,125.157,1.07741,0.82485,1.02242,0.92026,0.90666,0.94484,0.63902,1.19689,0.81668,1.31759,0.00108475,0.00108475,0.00108475
75,126.851,1.01993,0.76357,1.0168,0.96808,0.96489,0.98716,0.64215,1.18748,0.73509,1.30149,0.00108004,0.00108004,0.00108004
76,128.525,1.01777,0.77802,1.00078,0.96302,0.97222,0.98967,0.63754,1.21002,0.73084,1.31807,0.00107532,0.00107532,0.00107532
77,130.229,1.04871,0.78272,1.00526,0.91923,0.94444,0.9598,0.64563,1.23785,0.74946,1.36114,0.00107061,0.00107061,0.00107061
78,131.913,1.03501,0.77221,0.9914,0.92944,0.91667,0.95155,0.62328,1.27936,0.75726,1.46735,0.00106589,0.00106589,0.00106589
79,133.563,1.02986,0.77394,1.01079,0.87051,0.96467,0.93589,0.57834,1.32363,0.78603,1.35225,0.00106118,0.00106118,0.00106118
80,135.264,1.03094,0.80111,1.00612,0.9188,0.91667,0.94501,0.67685,1.10261,0.73866,1.27436,0.00105646,0.00105646,0.00105646
81,136.955,1.04279,0.7552,0.99793,0.91106,0.91667,0.94723,0.65547,1.17804,0.7349,1.38052,0.00105174,0.00105174,0.00105174
82,138.615,1.01968,0.75796,0.98287,0.91765,0.96198,0.96361,0.63138,1.23842,0.71701,1.32209,0.00104703,0.00104703,0.00104703
83,140.329,1.00417,0.73155,0.94923,0.91083,0.94444,0.94217,0.624,1.19548,0.72173,1.35078,0.00104231,0.00104231,0.00104231
84,142.047,0.99153,0.7871,0.98712,0.88834,0.94444,0.9466,0.62281,1.18431,0.73487,1.35759,0.0010376,0.0010376,0.0010376
85,143.731,1.01041,0.76063,0.98612,0.92151,0.93825,0.97646,0.61426,1.17667,0.77328,1.23081,0.00103288,0.00103288,0.00103288
86,145.417,1.0577,0.75156,1.01212,0.9352,0.93881,0.92517,0.59756,1.27394,0.76426,1.31974,0.00102817,0.00102817,0.00102817
87,147.059,1.1275,0.82253,1.01083,0.95029,0.96089,0.97917,0.61299,1.28717,0.79939,1.29522,0.00102345,0.00102345,0.00102345
88,148.702,1.0916,0.79827,0.99517,0.88555,0.97222,0.9546,0.59482,1.25658,0.8496,1.27971,0.00101873,0.00101873,0.00101873
89,150.379,0.96772,0.75839,0.98732,0.91475,0.96292,0.97674,0.60001,1.23847,0.81818,1.25889,0.00101402,0.00101402,0.00101402
90,152.083,1.01602,0.74458,0.98861,0.94416,0.90533,0.94274,0.63635,1.16206,0.75708,1.30739,0.0010093,0.0010093,0.0010093
91,153.733,1.04211,0.75866,0.98278,0.93257,0.94156,0.97593,0.62794,1.2132,0.76537,1.36234,0.00100459,0.00100459,0.00100459
92,155.376,1.03183,0.74912,0.9839,0.93946,0.97222,0.98357,0.64537,1.22135,0.77209,1.32142,0.000999871,0.000999871,0.000999871
93,157.07,1.01902,0.72438,0.97086,0.86193,0.97222,0.93825,0.58974,1.20652,0.79367,1.27685,0.000995156,0.000995156,0.000995156
94,158.721,1.08178,0.79858,1.00612,0.86086,0.94444,0.9249,0.57785,1.1717,0.76106,1.21799,0.00099044,0.00099044,0.00099044
95,160.339,1.08531,0.76659,0.99494,0.92692,0.97222,0.96746,0.57996,1.33047,0.83576,1.25265,0.000985724,0.000985724,0.000985724
96,162.112,1.05552,0.76694,1.00248,0.97734,0.93843,0.97577,0.6323,1.21766,0.83034,1.22052,0.000981008,0.000981008,0.000981008
97,163.758,0.97177,0.72034,0.94946,0.94748,0.93267,0.96838,0.62305,1.18804,0.794,1.20954,0.000976293,0.000976293,0.000976293
98,165.463,1.03366,0.78314,1.00174,0.88368,0.93735,0.91947,0.64756,1.21785,0.83634,1.27097,0.000971577,0.000971577,0.000971577
99,167.147,1.01833,0.76479,0.98018,0.93342,0.97222,0.97371,0.6756,1.13782,0.77106,1.21564,0.000966861,0.000966861,0.000966861
100,168.742,0.96162,0.68947,0.97092,0.93081,0.94444,0.93966,0.63939,1.20486,0.72638,1.21627,0.000962146,0.000962146,0.000962146
